55, 4, NoBodyCam, 8
56, 1, Female, 0
56, 2, Hispanic, 0
56, 3, Twenties, 0
56, 4, NoBodyCam, 2
57, 1, Female, 0
57, 2, NativeAmerican, 0
57, 3, Twenties, 0
57, 4, NoBodyCam, 1
58, 1, Female, 0
58, 2, Other, 0
58, 3, Twenties, 0
58, 4, NoBodyCam, 1
59, 1, Female, 0
59, 2, Hispanic, 0
59, 3, Thirties, 0
59, 4, BodyCam, 1
60, 1, Female, 0
60, 2, White, 0
60, 3, Thirties, 0
60, 4, BodyCam, 2
61, 1, Female, 0
61, 2, Black, 0
61, 3, Thirties, 0
61, 4, NoBodyCam, 3
62, 1, Female, 0
62, 2, White, 0
62, 3, Thirties, 0
62, 4, NoBodyCam, 8
63, 1, Female, 0
63, 2, Black, 0
63, 3, Forties, 0
63, 4, BodyCam, 2
64, 1, Female, 0
64, 2, White, 0
64, 3, Forties, 0
64, 4, NoBodyCam, 12
65, 1, Female, 0
65, 2, Black, 0
65, 3, Fifties, 0
65, 4, NoBodyCam, 1
66, 1, Female, 0
66, 2, Other, 0
66, 3, Fifties, 0
66, 4, NoBodyCam, 1
67, 1, Female, 0
67, 2, White, 0
67, 3, Fifties, 0
67, 4, NoBodyCam, 5
68, 1, Female, 0
68, 2, Black, 0
68, 3, Elderly, 0
68, 4, NoBodyCam, 1
69, 1, Female, 0
69, 2, White, 0
69, 3, Elderly, 0
69, 4, NoBodyCam, 2
70, 1, Male, 0
70, 2, Unknown, 0
70, 3, Twenties, 0
70, 4, BodyCam, 2
71, 1, Male, 0
71, 2, Unknown, 0
71, 3, Thirties, 0
71, 4, BodyCam, 1
72, 1, Male, 0
72, 2, Unknown, 0
72, 3, Forties, 0
72, 4, BodyCam, 1
73, 1, Male, 0
73, 2, Unknown, 0
73, 3, Elderly, 0
73, 4, BodyCam, 
74, 1, Male, 0
74, 2, Unknown, 0
74, 3, Youth, 0
74, 4, NoBodyCam, 4
75, 1, Male, 0
75, 2, Unknown, 0
75, 3, Twenties, 0
75, 4, NoBodyCam, 13
76, 1, Male, 0
76, 2, Unknown, 0
76, 3, Thirties, 0
76, 4, NoBodyCam, 29
77, 1, Male, 0
77, 2, Unknown, 0
77, 3, Forties, 0
77, 4, NoBodyCam, 15
78, 1, Male, 0
78, 2, Unknown, 0
78, 3, Fifties, 0
78, 4, NoBodyCam, 18
79, 1, Male, 0
79, 2, Unknown, 0
79, 3, Elderly, 0
79, 4, NoBodyCam, 9
80, 1, Female, 0
80, 2, Unknown, 0
80, 3, Thirties, 0
80, 4, BodyCam, 1
81, 1, Female, 0
81, 2, Unknown, 0
81, 3, Fifties, 0
81, 4, BodyCam, 2
82, 1, Female, 0
82, 2, Unknown, 0
82, 3, Elderly, 0
82, 4, BodyCam, 1
83, 1, Male, 0
83, 2, Asian, 0
83, 3, UnknownAge, 0
83, 4, NoBodyCam, 1
84, 1, Male, 0
84, 2, Black, 0
84, 3, UnknownAge, 0
84, 4, BodyCam, 8
85, 1, Male, 0
85, 2, Hispanic, 0
85, 3, UnknownAge, 0
85, 4, BodyCam, 4
86, 1, Male, 0
86, 2, White, 0
86, 3, UnknownAge, 0
86, 4, BodyCam, 4
87, 1, Male, 0
87, 2, Unknown, 0
87, 3, UnknownAge, 0
87, 4, BodyCam, 17
88, 1, Female, 0
88, 2, Unknown, 0
88, 3, UnknownAge, 0
88, 4, BodyCam, 1
89, 1, Male, 0
89, 2, Hispanic, 0
89, 3, UnknownAge, 0
89, 4, NoBodyCam, 17
